@relation titanic

@attribute class {1st,2nd,3rd,crew}
@attribute age numeric
@attribute sex {male,female}
@attribute survived {yes,no}

@data
1st,67,male,yes
1st,47,male,yes
1st,43,male,yes
1st,39,male,yes
1st,83,male,yes
1st,64,male,yes
1st,52,male,yes
1st,38,male,yes
1st,76,male,yes
1st,82,male,yes
1st,70,male,yes
1st,36,male,yes
1st,73,male,yes
1st,45,male,yes
1st,67,male,yes
1st,52,male,yes
1st,63,male,yes
1st,67,male,yes
1st,59,male,yes
1st,57,male,yes
1st,65,male,yes
1st,64,male,yes
1st,65,male,yes
1st,77,male,yes
1st,42,male,yes
1st,37,male,yes
1st,36,male,yes
1st,69,male,yes
1st,68,male,yes
1st,42,male,yes
1st,58,male,yes
1st,51,male,yes
1st,73,male,yes
1st,59,male,yes
1st,50,male,yes
1st,77,male,yes
1st,43,male,yes
1st,63,male,yes
1st,57,male,yes
1st,38,male,yes
1st,83,male,yes
1st,54,male,yes
1st,53,male,yes
1st,44,male,yes
1st,77,male,yes
1st,42,male,yes
1st,58,male,yes
1st,53,male,yes
1st,68,male,yes
1st,65,male,yes
1st,44,male,yes
1st,50,male,yes
1st,72,male,yes
1st,72,male,yes
1st,49,male,yes
1st,61,male,yes
1st,55,male,yes
1st,67,male,no
1st,47,male,no
1st,67,male,no
1st,73,male,no
1st,48,male,no
1st,73,male,no
1st,71,male,no
1st,43,male,no
1st,53,male,no
1st,76,male,no
1st,82,male,no
1st,51,male,no
1st,40,male,no
1st,62,male,no
1st,54,male,no
1st,67,male,no
1st,76,male,no
1st,58,male,no
1st,55,male,no
1st,82,male,no
1st,49,male,no
1st,36,male,no
1st,37,male,no
1st,72,male,no
1st,63,male,no
1st,59,male,no
1st,38,male,no
1st,58,male,no
1st,47,male,no
1st,49,male,no
1st,67,male,no
1st,72,male,no
1st,62,male,no
1st,47,male,no
1st,69,male,no
1st,69,male,no
1st,65,male,no
1st,53,male,no
1st,75,male,no
1st,47,male,no
1st,77,male,no
1st,64,male,no
1st,52,male,no
1st,37,male,no
1st,55,male,no
1st,37,male,no
1st,59,male,no
1st,40,male,no
1st,43,male,no
1st,77,male,no
1st,67,male,no
1st,78,male,no
1st,52,male,no
1st,69,male,no
1st,61,male,no
1st,81,male,no
1st,69,male,no
1st,68,male,no
1st,73,male,no
1st,69,male,no
1st,42,male,no
1st,74,male,no
1st,47,male,no
1st,42,male,no
1st,56,male,no
1st,79,male,no
1st,74,male,no
1st,64,male,no
1st,59,male,no
1st,67,male,no
1st,73,male,no
1st,56,male,no
1st,42,male,no
1st,49,male,no
1st,38,male,no
1st,77,male,no
1st,48,male,no
1st,61,male,no
1st,45,male,no
1st,59,male,no
1st,62,male,no
1st,68,male,no
1st,47,male,no
1st,53,male,no
1st,61,male,no
1st,61,male,no
1st,71,male,no
1st,51,male,no
1st,68,male,no
1st,52,male,no
1st,62,male,no
1st,80,male,no
1st,69,male,no
1st,80,male,no
1st,64,male,no
1st,74,male,no
1st,83,male,no
1st,70,male,no
1st,67,male,no
1st,82,male,no
1st,50,male,no
1st,43,male,no
1st,61,male,no
1st,70,male,no
1st,67,male,no
1st,52,male,no
1st,50,male,no
1st,82,male,no
1st,80,male,no
1st,72,male,no
1st,36,male,no
1st,36,male,no
1st,45,male,no
1st,59,male,no
1st,60,male,no
1st,49,male,no
1st,40,male,no
1st,64,male,no
1st,43,female,yes
1st,66,female,yes
1st,80,female,yes
1st,60,female,yes
1st,41,female,yes
1st,45,female,yes
1st,70,female,yes
1st,56,female,yes
1st,55,female,yes
1st,54,female,yes
1st,66,female,yes
1st,77,female,yes
1st,38,female,yes
1st,49,female,yes
1st,63,female,yes
1st,74,female,yes
1st,52,female,yes
1st,55,female,yes
1st,57,female,yes
1st,56,female,yes
1st,41,female,yes
1st,66,female,yes
1st,67,female,yes
1st,56,female,yes
1st,72,female,yes
1st,43,female,yes
1st,57,female,yes
1st,57,female,yes
1st,37,female,yes
1st,40,female,yes
1st,63,female,yes
1st,60,female,yes
1st,68,female,yes
1st,52,female,yes
1st,73,female,yes
1st,66,female,yes
1st,69,female,yes
1st,52,female,yes
1st,45,female,yes
1st,43,female,yes
1st,68,female,yes
1st,67,female,yes
1st,56,female,yes
1st,82,female,yes
1st,47,female,yes
1st,70,female,yes
1st,48,female,yes
1st,56,female,yes
1st,83,female,yes
1st,53,female,yes
1st,62,female,yes
1st,53,female,yes
1st,41,female,yes
1st,70,female,yes
1st,79,female,yes
1st,69,female,yes
1st,46,female,yes
1st,36,female,yes
1st,36,female,yes
1st,78,female,yes
1st,59,female,yes
1st,72,female,yes
1st,63,female,yes
1st,51,female,yes
