class,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,cluster
not,8.9854,6055,1.13269,1.55371,1,0,cluster1
toi,10.6925,4316.7,0.651075,0.152039,1,0,cluster2
not,9.55658,3461,0.39586,0.020257,1,0,cluster2
not,8.9387,6315,1.41189,2.85619,1,0,cluster1
toi,10.0614,5286,0.879477,0.623797,1,0,cluster4
not,9.3607,3461,0.426039,0.023464,1,0,cluster2
not,10.5886,3726,0.555239,0.053534,1,0,cluster2
not,11.0234,3272,0.341725,0.012059,2,23168.81774,cluster3
not,7.6028,6638.94,1.2568,2.76453,1,0,cluster1
not,8.2044,6047,1.06631,1.36969,1,0,cluster1
not,10.9869,4492,0.639946,0.150224,1,0,cluster2
not,7.1444,8790,1.90295,19.4763,1,0,cluster1
not,9.47246,3863,0.625641,0.078532,2,8365.132504,cluster3
not,9.9317,5440.47,0.991692,0.776237,1,0,cluster4
not,10.7908,3259,0.328588,0.010973,1,0,cluster2
toi,8.735,6358,1.55139,4.062656,1,0,cluster1
not,8.5579,6038,0.969828,1.12631,1,0,cluster1
not,7.7889,5762.7,0.905818,0.81523,2,21488.88611,cluster3
not,10.7958,3445,0.304287,0.011749,1,0,cluster2
not,10.2409,5354.19,0.8662,0.555528,1,0,cluster4
not,8.3274,5317.5,0.720705,0.374145,1,0,cluster4
toi,9.1073,5055.34,0.693406,0.324386,2,22255.23603,cluster3
not,8.1505,6087,1.26855,1.99031,1,0,cluster1
not,12.0807,3632,0.410017,0.026356,1,0,cluster2
not,9.1265,5908,1.06366,1.24184,0,0,cluster4
not,9.381,5983.29,1.17092,1.58309,1,0,cluster1
not,9.2848,5263.18,1.03763,0.744345,1,0,cluster4
not,8.0163,6183.83,1.0224,1.37711,1,0,cluster1
not,8.7057,3410,0.427535,0.022267,1,0,cluster2
not,9.3168,3439,0.473917,0.028303,1,0,cluster2
not,8.2795,6309,1.15509,1.90446,1,0,cluster1
not,6.881,6500.82,1.37245,3.03082,0,0,cluster1
toi,10.2499,5203,0.635603,0.305825,1,0,cluster4
not,8.35839,3923,0.650802,0.090379,1,0,cluster2
not,9.5304,5280,0.709791,0.35277,2,11582.73805,cluster3
not,8.6783,5529,0.900479,0.682698,0,0,cluster4
not,10.6925,4316.7,0.651075,0.132606,1,0,cluster2
not,12.8149,3353,0.310175,0.010956,1,0,cluster2
not,10.1658,5404.85,0.860548,0.56935,1,0,cluster4
toi,10.4981,3532,0.374358,0.022529,1,0,cluster2
toi,8.1705,4891,0.726632,0.312109,2,43096.37727,cluster3
not,9.57027,3423,0.358348,0.015883,1,0,cluster2
not,10.1854,5323,0.833874,0.502946,1,0,cluster4
not,9.174,6356,1.0653,1.66868,1,0,cluster1
toi,12.7474,5285,0.942255,0.715489,1,0,cluster4
not,6.9684,4953,0.739855,0.296798,1,0,cluster1
not,8.6259,5761,1.19246,1.41116,1,0,cluster1
toi,8.386,4827,28.3379,450.329588,2,25362.84262,cluster3
not,10.9353,3620,0.430095,0.028619,1,0,cluster2
not,9.50892,3458,0.296416,0.011319,1,0,cluster2
toi,7.3212,5326,2.78715,6.45671,1,0,cluster1
not,8.2983,4755,0.700013,0.225688,1,0,cluster4
not,7.7067,4814,0.709911,0.243852,1,0,cluster4
not,10.5957,4785,0.637591,0.192002,3,2744.514526,cluster3
not,8.5881,7236,1.59647,6.29522,1,0,cluster1
not,7.159,6338.36,1.22975,2.19906,1,0,cluster1
toi,10.1358,3897,0.557752,0.074112,0,0,cluster2
not,9.23615,3904,0.681365,0.097161,1,0,cluster2
toi,12.33,6784.68,1.50565,4.96194,1,0,cluster4
not,11.9306,2969,0.142759,0.001427,1,0,cluster2
not,8.7884,6351,1.2165,2.16914,1,0,cluster1
not,8.5092,5752,1.49469,2.20329,1,0,cluster1
toi,9.6652,5687.9,1.13906,1.402772,1,0,cluster4
not,9.6321,5716,0.832238,0.66613,1,0,cluster4
not,8.6123,5385.96,0.791996,0.475546,1,0,cluster4
toi,9.3309,5601.2,4.15574,17.559293,1,0,cluster4
not,6.9926,6216.76,1.2732,2.18143,1,0,cluster1
not,6.4271,6423.84,1.12861,1.95416,1,0,cluster1
not,10.8406,3273,0.272734,0.007691,0,0,cluster2
not,7.7024,5859.88,0.992519,1.04647,1,0,cluster1
not,10.2624,5596,0.859449,0.652598,1,0,cluster4
toi,10.7706,6053.05,1.53715,3.27654,2,2033.962189,cluster3
not,8.4021,7205,1.43274,4.98385,1,0,cluster1
not,10.9337,3349,0.282376,0.009037,1,0,cluster2
not,9.4756,4190,0.637103,0.112712,1,0,cluster2
not,8.5302,5176,0.778876,0.392291,1,0,cluster4
not,10.1403,4499,0.744671,0.204686,1,0,cluster2
toi,10.0176,6270.01,1.59084,4.040284,0,0,cluster4
not,9.54228,3687,0.518887,0.044826,1,0,cluster2
not,9.37717,3500,0.492784,0.032831,1,0,cluster2
toi,9.9005,4486,0.764401,0.244436,0,0,cluster4
not,5.7754,5794.38,1.15581,1.35674,1,0,cluster1
toi,11.3786,5614.89,0.957719,0.941732,3,7890.140676,cluster3
not,9.20578,3710,0.461223,0.036309,1,0,cluster2
toi,14.1118,3323,0.603855,0.045927,0,0,cluster2
not,9.3689,6011,1.00227,1.18156,1,0,cluster1
not,9.9603,5443.9,0.791587,0.495829,1,0,cluster4
not,6.9729,6620,1.53616,4.08318,1,0,cluster1
toi,9.654,7440.77,1.67335,8.866068,1,0,cluster1
toi,10.702,4651,0.690721,0.230609,1,0,cluster4
not,8.915,5376,0.788104,0.467411,1,0,cluster4
not,11.7183,3008,0.165217,0.002013,1,0,cluster2
not,8.6063,5926,1.47457,2.41586,1,0,cluster1
not,2.7459,5333,0.833049,0.505734,1,0,cluster1
not,7.7171,6529.5,1.63131,4.35799,1,0,cluster1
not,6.7536,5741.87,0.935784,0.85755,1,0,cluster1
toi,9.9358,6073,1.2273,2.116414,2,9746.570913,cluster3
not,10.2862,4572,0.756092,0.225045,1,0,cluster4
not,12.3329,2967,0.160214,0.001792,1,0,cluster2
not,8.0268,7563,1.59801,7.52712,0,0,cluster1
not,8.06,5707,0.907976,0.787907,1,0,cluster1
not,9.1421,6008,1.36041,2.17249,2,1336.222062,cluster3
not,8.5885,4989.26,0.685814,0.262574,1,0,cluster4
not,11.0692,3118,0.230215,0.004513,1,0,cluster2
toi,10.4016,5909.57,1.16972,1.723746,2,12844.18036,cluster3
not,9.4916,5857,1.16465,1.43808,0,0,cluster4
not,9.5485,4635.5,0.74621,0.231634,1,0,cluster4
not,10.606,3452,0.417173,0.022264,1,0,cluster2
toi,8.3157,5175.2,0.841842,0.525117,2,2308.894309,cluster3
toi,12.5554,3533,0.507628,0.041472,0,0,cluster2
not,6.3728,5142.71,0.802797,0.406138,2,10657.22529,cluster3
toi,10.4981,3532,0.374358,0.022529,0,0,cluster2
not,9.217,3565,0.425124,0.026301,0,0,cluster2
not,10.2145,3283,0.338724,0.012008,1,0,cluster2
not,9.42788,3268,0.351215,0.012676,1,0,cluster2
toi,12.2255,3424,0.427953,0.026002,1,0,cluster2
toi,9.8567,4174,0.903104,0.255724,1,0,cluster2
not,7.8658,6482,1.05944,1.78518,1,0,cluster1
toi,9.7976,5446,1.19844,1.305056,1,0,cluster4
not,6.1912,5876.08,0.977251,1.02579,1,0,cluster1
not,8.74094,3490,0.360144,0.017336,1,0,cluster2
not,9.84507,3406,0.237209,0.006822,1,0,cluster2
not,9.6852,5604.57,1.00931,0.905549,1,0,cluster4
not,10.5356,5247,0.796915,0.433674,1,0,cluster4
not,9.4798,5463.55,0.847925,0.577178,1,0,cluster4
not,10.6068,3428,0.381876,0.018143,1,0,cluster2
toi,13.9372,3644,0.783601,0.111838,2,221860.4321,cluster3
not,8.4665,4329,0.674102,0.143779,2,41758.60461,cluster3
not,9.433,5204,0.901578,0.537095,0,0,cluster4
toi,11.5464,5735.75,1.0941,1.338323,1,0,cluster4
not,9.1665,6043,1.2412,1.85092,1,0,cluster1
not,7.4111,6385.91,1.20502,2.17558,2,32716.10139,cluster3
not,9.1253,5399,0.808812,0.500775,1,0,cluster4
not,10.3647,4349,0.751627,0.182078,1,0,cluster2
not,8.0468,5758,1.50079,2.23059,1,0,cluster1
toi,11.7874,6146.6,2.2099,7.200639,1,0,cluster4
not,7.7957,6178.6,1.5321,3.08198,1,0,cluster1
not,8.4221,6457,1.29848,2.64053,0,0,cluster4
toi,10.7875,5546,0.880069,0.756901,2,8452.907616,cluster3
not,9.5211,5659.18,1.03982,0.999146,2,107282.4175,cluster3
not,9.4364,4499,0.70583,0.183891,1,0,cluster4
not,10.5508,4599,0.784068,0.247774,1,0,cluster4
not,10.468,5123.4,0.823102,0.420567,1,0,cluster4
toi,7.6818,5771.46,1.01482,1.180339,2,13028.40057,cluster3
not,7.9871,7016,1.85602,7.51997,1,0,cluster1
not,9.44367,3444,0.433047,0.023769,1,0,cluster2
not,7.0108,6217,1.99106,5.33565,2,23192.89872,cluster3
not,9.3323,4981,0.78252,0.339587,1,0,cluster4
not,9.4676,5603,0.950003,0.801359,1,0,cluster4
toi,8.8287,6226,1.34658,2.814406,1,0,cluster1
not,8.94872,3951,0.646461,0.09175,1,0,cluster2
not,8.7571,4666,0.620803,0.164582,1,0,cluster4
toi,10.5173,5704.59,1.40065,2.146065,2,19443.64966,cluster3
not,10.3003,5939,0.899646,0.907176,1,0,cluster4
not,10.5811,3012,0.190622,0.002694,1,0,cluster2
not,8.0851,6101,0.997559,1.24216,1,0,cluster1
toi,10.0906,5409.22,1.02101,0.921902,1,0,cluster4
not,9.0985,4006,0.564062,0.073823,1,0,cluster2
not,9.2321,6198,1.15323,1.76819,1,0,cluster1
not,10.8372,3261,0.226407,0.005222,1,0,cluster2
not,11.7993,3250,0.200967,0.00406,0,0,cluster2
toi,10.5623,5250,0.948885,0.706562,1,0,cluster4
not,10.0966,5942,0.884581,0.878821,1,0,cluster4
not,7.8297,5803.43,1.39715,1.9949,1,0,cluster1
not,8.7905,4830,0.596589,0.174516,2,10750.51974,cluster3
not,8.21419,3646,0.524824,0.043852,1,0,cluster2
not,9.78558,3406,0.395902,0.019004,1,0,cluster2
not,9.52044,3454,0.4716,0.028519,1,0,cluster2
not,8.842,4043,0.704823,0.119583,1,0,cluster2
toi,8.235,5995,0.963393,1.238368,0,0,cluster4
