class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
not,197907719,0.403839365,0.811666231,0.585064688,0.388472812,0.333333333,0
not,32873869,0.386760812,0.655244572,0.468615974,0.173186995,0.333333333,0
not,272002097,0.628067079,0.266283024,0.318140965,0.024524957,0.333333333,0
not,156918868,0.418601059,0.320952132,0.404785993,0.044970555,0.333333333,0
not,349412213,0.455229479,0.925974366,0.656132228,0.631826704,0.333333333,0
toi,158588995,0.753375993,0.155636934,0.207545749,0.009099408,0.333333333,0
toi,307210830,0.481533539,0.160345279,0.132392265,0.005007646,0.333333333,0
toi,122613513,0.601654898,0.417734763,0.418878318,0.07768542,0.666666667,0.008359678
not,219244444,0.836496028,0.284593251,0.047995203,0.002624925,0,0
not,220422429,0.563404678,0.618786293,0.45774011,0.1496555,0.333333333,0
not,278775329,0.580130185,0.557007586,0.528804164,0.158735857,0.333333333,0
not,142082942,0.87167917,0.119278054,0.119139442,0.003075988,0.333333333,0
not,382525982,0.394494704,0.640716715,0.450273152,0.155243733,0.333333333,0
toi,125405602,0.676820388,0.194611562,0.226076134,0.01231255,0.333333333,0
toi,229047362,0.680681818,0.763798064,0.524672201,0.325308973,0.333333333,0
toi,234994474,0.461383495,0.243264452,0.329610197,0.027132348,0.333333333,0
not,179517557,0.707921447,0.218938007,0.264396155,0.015074626,0.666666667,0.116382786
not,237933451,0.325915711,0.60497515,0.438992877,0.133890174,0.333333333,0
toi,14661418,0.820035305,0.49921266,0.466432155,0.122344833,0.333333333,0
not,300291282,0.497164607,1,0.706732395,0.858174578,0.333333333,0
not,300443382,0.510845102,0.564140727,0.474516886,0.1348528,0,0
toi,259377017,0.601312886,0.187287471,0.174365929,0.008202874,0.666666667,0.058041203
toi,277103955,0.468325243,0.48182056,0.459605978,0.112739734,0,0
toi,377064495,0.494207855,0.686371959,0.499441146,0.24182031,0.666666667,0.17907514
not,231801885,0.577394086,0.772953178,0.463130628,0.235040564,0.333333333,0
not,260947637,0.413636364,0.672430029,0.602220076,0.280169211,0.333333333,0
not,272088966,0.569417476,0.831284332,0.568789243,0.388984243,0.333333333,0
not,114308371,0.654435128,0.113784986,0.073520501,0.001680077,0.333333333,0
not,382145732,0.507469109,0.875490453,0.647730244,0.545902554,0.333333333,0
not,142082642,0.450319947,0.733664661,0.663704473,0.394212201,0,0
not,293970254,0.40157767,0.758006801,0.494033197,0.251997334,0.666666667,0.024530047
not,370281600,0.422084069,0.234894062,0.297510433,0.019381858,0.333333333,0
not,281582749,0.520189762,0.701004447,0.616074635,0.315974287,0.333333333,0
not,278409390,0.375507502,0.855087628,0.713942065,0.616593645,0.333333333,0
not,291466351,0.466438658,0.528380853,0.399715518,0.090501528,0.666666667,0.084622275
not,141185142,0.700485437,0.196704159,0.228102372,0.010940523,0.333333333,0
toi,5868998,0.980736981,0.216583835,0.459714751,0.042036459,0.333333333,0
not,41230546,0.555560459,0.567878629,0.441590171,0.120837704,0,0
not,117628957,0.477644528,0.178917081,0.256939656,0.012105524,0.333333333,0
not,272188493,0.447914828,0.733455402,0.524885562,0.261582682,0.333333333,0
toi,167415965,0.326687996,0.661828407,0.469940768,0.203375239,0.333333333,0
not,66409287,0.136838041,0.5506147,0.431438064,0.110176078,0.333333333,0
not,142149242,0.515081642,0.736643997,0.644041738,0.376847044,0,0
