class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,StarGap
not,260351540,0.35618932,0.578341617,0.623660825,0.2258708,0.333333333,0,0.278341617
not,220423218,0.876003972,0.108291917,0.055268323,0.001207239,0.333333333,0,0.191708083
toi,453211454,0.317530891,0.71782893,0.584331171,0.346055385,0.333333333,0,0.41782893
not,149347296,0.490269197,0.795448601,0.725405021,0.54446676,0.666666667,0.069951979,0.495448601
toi,101955023,0.638724625,0.116400732,0.071205598,0.001936434,0.333333333,0,0.183599268
toi,167303382,0.272848632,0.632953178,0.436160607,0.165008278,0.333333333,0,0.332953178
toi,120585579,0.830626655,0.882552969,0.698748767,0.728625689,0.333333333,0,0.582552969
toi,452866790,0.678442189,0.134187811,0.160539958,0.005708867,0,0,0.165812189
toi,307610438,0.415048544,0.782631441,0.711550462,0.583233381,0.333333333,0,0.482631441
not,260995123,0.427460282,0.65681402,0.485396933,0.184665395,0.333333333,0,0.35681402
toi,259701242,0.351632833,0.831545906,0.585076542,0.468808309,0.333333333,0,0.531545906
not,38635641,0.660889232,0.381768245,0.362807448,0.047059466,0.333333333,0,0.081768245
not,220536759,0.393435569,0.743648967,0.528596381,0.272200741,0.333333333,0,0.443648967
not,142149242,0.515081642,0.736643997,0.644041738,0.376847044,0,0,0.436643997
not,141805493,0.504247573,0.757520272,0.587583192,0.339405012,0.333333333,0,0.457520272
not,348898049,0.629633716,0.630371436,0.3936124,0.120443713,0.333333333,0,0.330371436
not,259999047,0.372908208,0.155113785,0.208176072,0.00790986,0.666666667,0.037908145,0.144886215
not,279615427,0.57902692,0.375205336,0.198379567,0.0182841,0.666666667,0.055619589,0.075205336
toi,101230735,0.509421889,0.751216322,0.707562135,0.53109062,0.333333333,0,0.451216322
not,294874367,0.523168579,0.72749673,0.573026492,0.299530084,0.333333333,0,0.42749673
not,260046359,0.529997793,0.578080042,0.592397773,0.206234512,0.666666667,0.051440969,0.278080042
not,92251004,0.380759047,0.637719069,0.423934151,0.139134044,0.333333333,0,0.337719069
not,294873759,0.429931598,0.786842794,0.916091718,0.811865473,0.333333333,0,0.486842794
not,157324520,0.087389673,0.71870259,0.551762151,0.273822924,0,0,0.41870259
toi,406941612,0.600463372,0.174208737,0.210698062,0.01013017,0.666666667,0.016508399,0.125791263
not,350298298,0.680593557,0.243787601,0.299643351,0.020341377,0.333333333,0,0.056212399
not,349677687,0.454578553,0.919173424,0.804327894,0.894448275,0.333333333,0,0.619173424
toi,183120439,0.743623124,0.784985613,0.817415466,0.752943787,0.333333333,0,0.484985613
not,376935746,0.837356575,0.074025634,0.044401524,0.000780236,0.333333333,0,0.225974366
toi,394698182,0.763614298,0.825791263,0.764584067,0.742048539,0,0,0.525791263
not,167303382,0.272848632,0.632953178,0.436160607,0.143875575,0.333333333,0,0.332953178
toi,123482865,0.488184025,0.783416165,0.939700945,0.966502719,0.333333333,0,0.483416165
not,177309385,0.232921447,0.921360188,0.770796655,0.832754576,0.333333333,0,0.621360188
toi,255685030,0.611098853,0.7345017,0.551695911,0.327804852,0,0,0.4345017
not,300443382,0.510845102,0.564140727,0.474516886,0.1348528,0,0,0.264140727
not,231815113,0.872473522,0.055453832,0.05000122,0.000770234,0,0,0.244546168
not,391904670,0.428353928,0.677216845,0.691671577,0.362638362,0.333333333,0,0.377216845
toi,102195674,0.694472639,0.884645566,0.768223765,0.867765994,0.333333333,0,0.584645566
not,308599430,0.568612092,0.406748627,0.396408413,0.059467533,0.666666667,0.364810209,0.106748627
not,219410598,0.466251103,0.636934345,0.537669826,0.207710842,0.333333333,0,0.336934345
not,49644110,0.211893204,0.55898509,0.42921241,0.112106256,0.333333333,0,0.25898509
not,38843695,0.657093998,0.446769553,0.366634709,0.060091857,0.333333333,0,0.146769553
not,306470369,0.358781995,0.759874444,0.900933283,0.733169543,0.333333333,0,0.459874444
not,326197647,0.312312445,0.63381899,0.473263909,0.165488258,0.666666667,0.027389358,0.33381899
not,150301109,0.825088261,0.165053623,0.147219501,0.005089339,0.333333333,0,0.134946377
not,388107335,0.41283098,0.743656814,0.730404376,0.480314405,0.666666667,0.021222825,0.443656814
not,25116423,0.759267432,0.176562909,0.197637683,0.008095566,0.333333333,0,0.123437091
not,167309586,0.563470874,0.639092336,0.454358399,0.156876523,0.333333333,0,0.339092336
not,140760006,0.71266549,0.208736594,0.242892653,0.012674425,0.333333333,0,0.091263406
not,349945315,0.496546778,0.475935129,0.433643498,0.087419684,0,0,0.175935129
not,231728497,0.6630406,0.145435522,0.206697881,0.007478933,0.333333333,0,0.154564478
not,313936437,0.390633274,0.568469788,0.391531776,0.099140919,0.666666667,0.00727714,0.268469788
toi,260304800,0.849470432,0.645827884,0.570337857,0.270722055,0.333333333,0,0.345827884
not,220476607,0.149724184,0.741825791,0.516122397,0.259975274,0.333333333,0,0.441825791
not,349518888,0.82923654,0.127125294,0.128081803,0.003516557,0,0,0.172874706
not,362253884,0.589849956,0.086581219,0.080764337,0.001598108,0.333333333,0,0.213418781
not,388128620,0.358903354,0.745461679,0.751991549,0.508526439,1,0.01713806,0.445461679
not,237915249,0.542950132,0.496468742,0.426016867,0.090785656,0.333333333,0,0.196468742
not,88481300,0.179181377,0.772445723,0.583172324,0.348574775,0.333333333,0,0.472445723
not,309781635,0.853883495,0.123724823,0.051504513,0.001236216,0.333333333,0,0.176275177
not,391925508,0.44755075,0.855767722,0.838612173,0.825098269,0,0,0.555767722
not,370101728,0.226003972,0.713083965,0.67345217,0.382331855,0.333333333,0,0.413083965
toi,73723286,0.448345102,0.744179963,0.942782835,0.875711342,0.333333333,0,0.444179963
not,167526213,0.31299647,0.739994769,0.67602506,0.414339841,0.333333333,0,0.439994769
not,454281030,0.51249669,0.246926498,0.289588163,0.019531536,0.666666667,0.162448965,0.053073502
not,149420149,0.577482348,0.617054669,0.45739148,0.148699314,0.333333333,0,0.317054669
not,55452503,0.48837158,0.66518441,0.568197269,0.247972942,0.666666667,0.109818311,0.36518441
not,359271092,0.289159312,0.243002877,0.279595031,0.018191815,0.333333333,0,0.056997123
toi,279741379,0.214651368,0.474111954,0.405232937,0.089052282,0,0,0.174111954
not,41031598,0.61370256,0.2448339,0.262766658,0.016655098,0.333333333,0,0.0551661
toi,158588995,0.753375993,0.155636934,0.207545749,0.009099408,0.333333333,0,0.144363066
not,141914082,0.387279347,0.377713837,0.642047574,0.122439808,0.333333333,0,0.077713837
not,201287746,0.516205869,0.147789694,0.141655365,0.004449975,0.333333333,0,0.152210306
not,290754629,0.343998235,0.83233063,0.661215255,0.50787105,0.333333333,0,0.53233063
not,279949279,0.604766108,0.70599006,0.448319429,0.185539752,0.333333333,0,0.40599006
toi,161477033,0.553133274,0.646089459,0.526565262,0.235985919,0.666666667,0.021700731,0.346089459
not,38707482,0.607127096,0.466387654,0.460040371,0.093534123,0.333333333,0,0.166387654
not,150100106,0.946359223,0.0609469,0.055180468,0.000888644,0.333333333,0,0.2390531
not,364588501,0.458274492,0.729531781,0.764611957,0.501775553,0.333333333,0,0.429531781
toi,425997655,0.40859444,0.522364635,0.395408542,0.100043711,0.333333333,0,0.222364635
not,293936969,0.356542365,0.913680356,0.718739214,0.721149027,0.333333333,0,0.613680356
toi,201248411,0.53538173,0.436829715,0.446327357,0.09226964,0,0,0.136829715
not,309792357,0.550672992,0.618362543,0.525823377,0.189279258,0.333333333,0,0.318362543
toi,43647325,0.594991174,0.851687157,0.678751347,0.640678365,0.333333333,0,0.551687157
not,218970017,0.639099735,0.119539629,0.103507567,0.002581491,0,0,0.180460371
not,55650590,0.814585172,0.148312843,0.158550675,0.005196967,0.333333333,0,0.151687157
not,453976070,0.38886143,0.258435783,0.356373829,0.028521087,0.333333333,0,0.041564217
not,358460382,0.511275375,0.730907664,0.710211723,0.441301711,0.333333333,0,0.430907664
not,280793604,0.284410856,0.777651059,0.517685654,0.287626629,0.333333333,0,0.477651059
not,251823163,0.444482568,0.195134711,0.278112656,0.014705524,0.333333333,0,0.104865289
not,200781244,0.272749338,0.478396547,0.369824674,0.067763318,0.666666667,0.018982086,0.178396547
not,38468952,0.488128861,0.808579649,0.793952663,0.662573162,0.666666667,0.431963974,0.508579649
toi,31374837,0.34451677,0.54276746,0.419992539,0.117906463,0.333333333,0,0.24276746
not,237920279,0.346006178,0.756735548,0.512952653,0.267793724,0.333333333,0,0.456735548
not,220422671,0.52325684,0.773214753,0.556596952,0.322095165,0,0,0.473214753
not,38954437,0.871932921,0.056500131,0.064610911,0.001025647,0,0,0.243499869
not,356209404,0.399602824,0.635888046,0.442150071,0.148467086,0.333333333,0,0.335888046
not,31799716,0.547109444,0.957964949,0.398423495,0.290628159,0.333333333,0,0.657964949
toi,77044471,0.905759047,0.797018049,0.738018456,0.646508445,0.333333333,0,0.497018049
not,340007359,0.621348191,0.288778446,0.324062795,0.027631917,0.333333333,0,0.011221554
not,246897668,0.462338923,0.156421658,0.234358887,0.009496129,0.333333333,0,0.143578342
toi,167415965,0.326687996,0.661828407,0.469940768,0.203375239,0.333333333,0,0.361828407
toi,207081058,0.539276258,0.851948731,0.769088367,0.801445033,0.333333333,0,0.551948731
not,131799991,0.768733451,0.030865812,0.029816237,0.000373796,0.333333333,0,0.269134188
not,358402782,0.3815203,0.691865027,0.639976712,0.329336645,0.333333333,0,0.391865027
toi,243200602,0.600529568,0.729008632,0.651892887,0.432374942,0,0,0.429008632
not,300510333,0.509631509,0.645817421,0.583788702,0.245849179,0,0,0.345817421
not,229047482,0.228056046,0.384514779,0.528997305,0.08946124,0.333333333,0,0.084514779
toi,251848941,0.592696381,0.398378237,0.374094695,0.060236346,0.333333333,0,0.098378237
not,31374837,0.34451677,0.54276746,0.419992539,0.102793671,0.333333333,0,0.24276746
toi,231728511,0.711473963,0.172116139,0.191275881,0.008724402,0.333333333,0,0.127883861
not,167123841,0.555770079,0.735074549,0.59492813,0.326449903,0.333333333,0,0.435074549
not,33880047,0.396182701,0.786685849,1,0.953077178,0.666666667,0.174962334,0.486685849
not,140142136,0.56021624,0.203243526,0.232194591,0.011563143,0.666666667,0.043039901,0.096756474
not,350522060,0.542420565,0.721462202,0.63351311,0.351187239,0.666666667,0.027589729,0.421462202
not,146249749,0.345300088,0.595605545,0.398159233,0.11069054,0.333333333,0,0.295605545
not,55367907,0.615180936,0.487653675,0.426193971,0.088269038,0.333333333,0,0.187653675
not,453099619,0.336937335,0.662045514,0.58522715,0.258721701,0.333333333,0,0.362045514
not,308183430,0.488157546,0.27386869,0.349575543,0.029418705,0.666666667,0.085055008,0.02613131
toi,271596225,0.735503089,0.206905572,0.243634538,0.014531964,0.333333333,0,0.093094428
not,176521059,0.035447926,0.76353649,0.555572677,0.31290646,0,0,0.46353649
not,142082942,0.87167917,0.119278054,0.119139442,0.003075988,0.333333333,0,0.180721946
not,150029272,0.411771845,0.839837824,0.70620945,0.58187697,0.666666667,0.080078082,0.539837824
not,117768715,0.259808032,0.685215799,0.54096717,0.241071658,0.333333333,0,0.385215799
not,307216840,0.330880406,0.791812713,0.730501992,0.546110915,0.333333333,0,0.491812713
toi,260271203,0.92956752,0.88150667,0.803386592,0.933381232,0.333333333,0,0.58150667
