class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
not,358460382,0.511275375,0.730907664,0.710211723,0.441301711,0.333333333,0
not,237878575,0.371756399,0.906068533,0.539449234,0.427690077,0.333333333,0
toi,63898957,0.440413725,0.804159037,0.805959482,0.771691914,0.333333333,0
not,167895487,0.505770079,0.758566571,0.493627391,0.252023095,0.333333333,0
not,446764926,0.608373786,0.19565786,0.149483505,0.005984229,0.666666667,0.038350548
not,167754523,0.452978817,0.567617055,0.421266434,0.111603538,0.333333333,0
toi,219229644,0.632314651,0.25268114,0.339461785,0.029570063,0.333333333,0
not,130824174,0.361827008,0.654329061,0.415859879,0.141408206,0.333333333,0
toi,307210830,0.481533539,0.160345279,0.132392265,0.005007646,0.333333333,0
not,167721744,0.739872021,0.16714622,0.154489135,0.005485262,0.333333333,0
not,220039253,0.522377538,0.183887,0.253970722,0.012159092,0.333333333,0
not,350522060,0.542420565,0.721462202,0.63351311,0.351187239,0.666666667,0.027589729
toi,360156606,0.96582083,0.062516348,0.221027971,0.006305641,0.333333333,0
not,220571983,0.332877317,0.39628564,0.392390103,0.056353488,0.333333333,0
not,206402844,0.167409532,0.828684279,0.667908952,0.512223894,0.333333333,0
not,339961200,0.516935128,0.657598744,0.528903175,0.214357548,0.333333333,0
not,220408612,0.297252868,0.714023019,0.744879496,0.458815373,0.333333333,0
not,302002907,0.461827008,0.642427413,0.438622632,0.149306969,0.333333333,0
toi,382626661,0.510701677,0.635364897,0.478862211,0.194486024,0.333333333,0
not,54237857,0.267464695,0.581090766,0.494227035,0.152214926,0.333333333,0
not,25155713,0.609697705,0.65779231,0.451240251,0.163692947,0.333333333,0
toi,167418903,0.698455428,0.732118755,0.581120288,0.356431364,1,0.039640607
not,56665956,0.522703001,0.154329061,0.189387701,0.006867527,0.333333333,0
not,149218497,0.435977493,0.852157991,0.696629096,0.585869918,0.333333333,0
not,355276484,0.227515446,0.800847502,0.642012711,0.444536984,0.333333333,0
not,293936312,0.43538173,0.81964949,0.611863184,0.428856897,0,0
toi,233087860,0.540500883,0.4493853,0.396112775,0.078947195,0.666666667,0.027389358
not,410253727,0.432259488,0.567093905,0.466635058,0.132280114,0.333333333,0
not,279674929,0.633605472,0.115877583,0.142452334,0.00382512,0.333333333,0
not,328426362,0.519073257,0.185194873,0.198228262,0.008455159,0.333333333,0
toi,50309953,0.52325684,0.678786293,0.549361484,0.278794904,0.333333333,0
not,344081664,0.19804722,0.700442061,0.553644753,0.261859612,0.333333333,0
not,349645035,0.907105031,0.100967826,0.046998818,0.000986376,0.333333333,0
toi,92226327,0.689684466,0.091551138,0.063624986,0.001494516,0,0
not,31012605,0.595752427,0.556473973,0.43309824,0.112924166,0.333333333,0
not,219234564,0.166008385,0.467172378,0.404463859,0.075617378,0.666666667,0.047848826
not,413248763,0.407451456,0.176301334,0.164455074,0.00623555,0.333333333,0
toi,259962054,0.793744484,0.102798849,0.075446334,0.001910988,0,0
not,146663593,0.493451015,0.166884646,0.242168897,0.010472015,0.333333333,0
not,255563650,0.613305384,0.160083704,0.179607931,0.006541158,0.333333333,0
toi,70513361,0.340545013,0.650426367,0.505088256,0.222496525,0,0
not,300384626,0.545642101,0.579419304,0.516133553,0.163105749,0.333333333,0
not,177117623,0.593512798,0.65341355,0.509239742,0.198455462,0.333333333,0
not,302047241,0.512180053,0.43264452,0.434231985,0.075715118,0.333333333,0
not,299942685,0.478033981,0.687698143,0.603351032,0.293488761,0.333333333,0
not,79054590,0.363184025,0.487797541,0.408135631,0.082178087,0.333333333,0
not,290468468,0.212797882,0.519748888,0.407803038,0.091010686,0.333333333,0
not,177284199,0.353078111,0.684540936,0.777880817,0.456845417,0.333333333,0
not,270559112,0.473598853,0.455924666,0.435521917,0.08236296,0,0
not,332710428,0.29314872,0.506147005,0.438530594,0.09832566,0.333333333,0
not,220433363,0.403563548,0.15537536,0.21144413,0.008103484,0.333333333,0
not,143980902,0.316791703,0.582683756,0.36196725,0.091098197,0.333333333,0
not,454012528,0.57026699,0.088935391,0.059861176,0.001163225,0,0
not,55367907,0.615180936,0.487653675,0.426193971,0.088269038,0.333333333,0
not,304217972,0.336617387,0.625741564,0.460874294,0.154525835,0.333333333,0
toi,211438925,0.573720212,0.774182579,0.961811063,0.984313554,0.333333333,0
not,177385959,0.709796999,0.121109077,0.124456747,0.003285159,0.333333333,0
not,279361150,0.508009709,0.756343186,0.547949532,0.299690332,0.333333333,0
toi,52368076,0.568259047,0.64452001,0.507592117,0.220582929,0.333333333,0
toi,31374837,0.34451677,0.54276746,0.419992539,0.117906463,0.333333333,0
not,150151262,0.535977493,0.441538059,0.415689747,0.072573797,0.333333333,0
not,150359500,0.518538173,0.122940099,0.167732196,0.004965042,0.333333333,0
not,279741379,0.214651368,0.474111954,0.405232937,0.077627491,0.333333333,0
toi,150428135,0.646778464,0.177347633,0.205811663,0.009929395,0.333333333,0
toi,1003831,0.620289056,0.715145174,0.695638987,0.467043246,0.333333333,0
not,49934962,0.213669462,0.422882553,0.43886249,0.074520265,0.333333333,0
not,141914082,0.387279347,0.377713837,0.642047574,0.122439808,0.333333333,0
not,260843977,0.409819064,0.675908972,0.56235144,0.251109338,0.333333333,0
toi,78055054,0.860359665,0.608422705,0.525435003,0.210489017,0,0
not,453976070,0.38886143,0.258435783,0.356373829,0.028521087,0.333333333,0
not,231017428,0.502563989,0.186764321,0.253861949,0.012307937,0.333333333,0
not,55650590,0.814585172,0.148312843,0.158550675,0.005196967,0.333333333,0
not,220412945,0.207082966,0.672008894,0.547659472,0.23721244,0.333333333,0
not,149420149,0.577482348,0.617054669,0.45739148,0.148699314,0.333333333,0
toi,278683844,0.466802736,0.605283809,0.484855162,0.181752435,0.333333333,0
not,38403917,0.653420124,0.197488883,0.072984308,0.002577524,0.333333333,0
toi,101955023,0.638724625,0.116400732,0.071205598,0.001936434,0.333333333,0
not,54003038,0.59701015,0.125032697,0.119271224,0.003173057,0.333333333,0
toi,89020549,0.635293469,0.650797803,0.569327527,0.273795913,0.333333333,0
toi,294395926,0.647440424,0.725085012,0.650344969,0.425967274,0.333333333,0
not,140142136,0.56021624,0.203243526,0.232194591,0.011563143,0.666666667,0.043039901
not,319289907,0.28575684,0.889615485,0.720370803,0.682731109,0.333333333,0
not,142087340,0.467453663,0.640120324,0.636839041,0.281653875,0.333333333,0
not,394634714,0.442475728,0.541666231,0.431350907,0.107098781,0,0
not,197889083,0.462400706,0.715406749,0.52810272,0.251584779,0.333333333,0
not,179013510,0.23380406,0.799186503,0.616834648,0.412536575,0.666666667,0.063413716
not,382626661,0.510701677,0.635364897,0.478862211,0.169585387,0.333333333,0
toi,355703913,0.897528685,0.685210568,0.569251526,0.301952398,0.333333333,0
not,144155897,0.324922771,0.586803557,0.454746773,0.134496693,0.333333333,0
not,382200572,0.32902692,0.85113785,0.784330473,0.722622705,0.666666667,0.145178711
not,300136653,0.342310238,0.855610777,0.797850347,0.753672233,0.333333333,0
not,201792346,0.803740071,0.039497777,0.025051859,0.00034694,0.333333333,0
not,158624542,0.403431156,0.270468219,0.353430694,0.029541334,0.333333333,0
not,150065945,0.579589585,0.697358096,0.427499939,0.167281297,0.333333333,0
toi,359271092,0.289159312,0.243002877,0.279595031,0.020906403,0.333333333,0
not,220433364,0.483239188,0.118231755,0.158229238,0.004470015,0.333333333,0
not,349677687,0.454578553,0.919173424,0.804327894,0.894448275,0.333333333,0
not,380024477,0.215368491,0.881409888,0.76357304,0.742632906,0.333333333,0
not,25081575,0.541979259,0.6873921,0.46528307,0.187506677,0.333333333,0
not,349767833,0.487389673,0.779267591,0.652157846,0.431872444,0.333333333,0
not,280313260,0.319191306,0.273083965,0.341754376,0.028272456,0.333333333,0
not,167201200,0.449988967,0.808788909,0.654988722,0.470123674,0,0
not,349275562,0.4505406,0.834423228,0.698867301,0.563336659,0,0
not,309755442,0.47396293,0.873476327,0.805673606,0.802102828,0.333333333,0
not,149988104,0.669373345,0.124771122,0.11235022,0.002937447,0.333333333,0
not,78012819,0.357711827,0.548129741,0.411050178,0.10086463,0.333333333,0
toi,50312495,0.525783319,0.721135234,0.707729477,0.48960498,0.666666667,0.067693867
not,79611981,0.487961165,0.023280146,0.02193162,0.00025758,0.666666667,0.059744556
not,392011927,0.531233451,0.75124248,0.668641075,0.418878315,0.333333333,0
not,77156672,0.578133274,0.324614177,0.224558199,0.018088696,0.333333333,0
not,307715447,0.472087379,0.343709129,0.430386596,0.054271018,0.333333333,0
toi,204376737,0.709410856,0.670865812,0.48349411,0.218995924,0.333333333,0
not,344173871,0.37886143,0.659105415,0.527335734,0.214190101,0.333333333,0
not,269885278,0.141206973,0.728872613,0.533293822,0.265493422,0.333333333,0
not,31673724,0.387257282,0.842793618,0.589563411,0.426356569,0.333333333,0
not,238186581,0.458980583,0.781323568,0.571606174,0.344629182,0.333333333,0
not,101534291,0.449890777,0.156683233,0.259420507,0.011103991,0.333333333,0
