class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
0,167169110,0.434421889,0.847240387,0.703120588,0.588271748,0.333333333,0
1,167600516,0.622760371,0.392545122,0.367309657,0.057266169,0.333333333,0
0,396742364,0.497438217,0.168715668,0.189358416,0.007342286,0.333333333,0
1,161477033,0.553133274,0.646089459,0.526565262,0.235985919,0.333333333,0
0,77111228,0.475827449,0.168715668,0.210401029,0.008557029,0.333333333,0
0,279251651,0.61129744,0.238032958,0.300487036,0.019948561,0.333333333,0
0,46029665,0.659267432,0.119278054,0.15161224,0.00423631,0,0
0,89328464,0.34825684,0.84514779,0.656836461,0.518558058,0.333333333,0
0,140943185,0.655240512,0.438399163,0.359549849,0.056578517,0.333333333,0
0,308183430,0.488157546,0.27386869,0.349575543,0.029418705,0.666666667,0.085055008
0,382099053,0.538823919,0.686494899,0.604808306,0.293735763,0.333333333,0
0,279674929,0.633605472,0.115877583,0.142452334,0.00382512,0.333333333,0
0,31673724,0.387257282,0.842793618,0.589563411,0.426356569,0.333333333,0
0,183799419,0.302416152,0.770782108,0.544931791,0.308507777,1,0.042055532
0,88478720,0.634157105,0.164530473,0.125508215,0.004119174,0.333333333,0
0,294092998,0.572936893,0.663926236,0.517307739,0.210122901,0.333333333,0
0,130824174,0.361827008,0.654329061,0.415859879,0.141408206,0.333333333,0
1,311183180,0.447870697,0.585754643,0.396825375,0.122557776,0.666666667,0.121206218
0,300136653,0.342310238,0.855610777,0.797850347,0.753672233,0.333333333,0
0,349054977,0.775915711,0.213444939,0.199229528,0.009652703,0.666666667,0.249757409
0,167201200,0.449988967,0.808788909,0.654988722,0.470123674,0,0
0,142017826,0.478067079,0.828482867,0.729776842,0.599401996,0.333333333,0
0,142087340,0.467453663,0.640120324,0.636839041,0.281653875,0.333333333,0
0,220391375,0.327504413,0.880939053,0.626219769,0.521369033,0.333333333,0
0,220433363,0.403563548,0.15537536,0.21144413,0.008103484,0.333333333,0
0,333680372,0.470984113,0.162961025,0.243784449,0.010390148,0.333333333,0
0,293936969,0.356542365,0.913680356,0.718739214,0.721149027,0.333333333,0
1,183537452,0.573929832,0.62437876,0.356521648,0.115526064,0.333333333,0
0,265373654,0.365246028,0.28956317,0.367119305,0.033906831,0.333333333,0
0,130297237,0.494549868,0.64452001,0.408249982,0.133310552,0.666666667,0.063081732
0,255564289,0.4005406,0.709652106,0.541209119,0.258299675,0,0
0,167600516,0.622760371,0.392545122,0.367309657,0.049904157,0.333333333,0
0,294927550,0.856917476,0.140465603,0.129613683,0.00381849,0.333333333,0
0,140581031,0.564651368,0.677177609,0.513366825,0.215359194,0.333333333,0
1,259377017,0.601312886,0.187287471,0.174365929,0.008202874,0.333333333,0
1,31374837,0.34451677,0.54276746,0.419992539,0.117906463,0.333333333,0
0,196466162,0.498948588,0.15877583,0.163202795,0.005685099,0.333333333,0
0,141412290,0.566813769,0.655767722,0.494768109,0.190202864,0.333333333,0
0,349412213,0.455229479,0.925974366,0.656132228,0.631826704,0.333333333,0
1,260304800,0.849470432,0.645827884,0.570337857,0.270722055,0.333333333,0
0,49644110,0.211893204,0.55898509,0.42921241,0.112106256,0.333333333,0
0,309623584,0.394759488,0.770337431,0.744795825,0.534268452,0.333333333,0
0,382257922,0.649547661,0.210306042,0.213229116,0.01051005,0.333333333,0
0,122574885,0.492180053,0.167930944,0.120020081,0.00395597,0.333333333,0
0,302964354,0.358616505,0.507193304,0.401432172,0.085167116,0.333333333,0
0,197594519,0.293347308,0.52262621,0.408333653,0.092048322,0.333333333,0
0,260638705,0.612080759,0.515040544,0.357907801,0.072405593,1,0.014947141
0,177309385,0.232921447,0.921360188,0.770796655,0.832754576,0.333333333,0
1,359496368,0.561341571,0.282762229,0.302239251,0.027744517,0,0
0,147946697,0.462086275,0.284593251,0.388429666,0.036476411,0.333333333,0
0,390531051,0.759355693,0.040020926,0.012881183,0.000208521,0.666666667,0.02143158
0,150439989,0.412687555,0.924666492,0.761557958,0.821419756,0.333333333,0
0,349191590,0.381884378,0.767983259,0.95552875,0.834357059,0,0
1,101230735,0.509421889,0.751216322,0.707562135,0.53109062,0.333333333,0
0,167895487,0.505770079,0.758566571,0.493627391,0.252023095,0.333333333,0
0,270340632,0.393259047,0.672236464,0.46556825,0.179822714,0.333333333,0
0,349273907,0.214563107,0.889552707,0.801092607,0.82607567,0.333333333,0
0,238069953,0.152173433,0.943719592,0.700275766,0.739977255,0.333333333,0
0,218970017,0.639099735,0.119539629,0.103507567,0.002581491,0,0
0,220028962,0.292872904,0.796201936,0.60538494,0.396110177,0.333333333,0
0,149931754,0.575308914,0.727177609,0.512600536,0.246896665,0.333333333,0
0,44678687,0.649371139,0.139419304,0.110230549,0.003091471,0.333333333,0
0,348762301,0.488503972,0.35940361,0.357567538,0.042367562,0.333333333,0
0,24695017,0.384201236,0.617316244,0.456420197,0.148282592,0.333333333,0
0,238192896,0.561838041,0.440230186,0.432570415,0.077210769,0.333333333,0
0,80417903,0.495860547,0.227831546,0.275140236,0.016649908,0.333333333,0
0,117628957,0.477644528,0.178917081,0.256939656,0.012105524,0.333333333,0
1,201248411,0.53538173,0.436829715,0.446327357,0.09226964,0,0
0,38469670,0.08027361,0.779068794,0.719241242,0.513652111,0.333333333,0
1,167418903,0.698455428,0.732118755,0.581120288,0.356431364,1,0.039640607
0,453833488,0.458735658,0.233847764,0.234933429,0.013423159,0.333333333,0
1,9804616,1,0.132618363,0.334385034,0.017067078,0,0
0,307574210,0.476732127,0.835731101,0.612183923,0.447287345,0.333333333,0
0,25081575,0.541979259,0.6873921,0.46528307,0.187506677,0.333333333,0
1,176957796,0.623808473,0.479989537,0.394953231,0.087031453,0.333333333,0
0,201874446,0.426654898,0.66963118,0.462854513,0.176740871,0.666666667,0.189696512
0,177038077,0.392597087,0.813497253,0.941499876,0.914886562,0.333333333,0
0,49669659,0.188195057,0.765333508,0.565825887,0.324540183,0.333333333,0
1,207081058,0.539276258,0.851948731,0.769088367,0.801445033,0.333333333,0
0,141024724,0.577934687,0.459325137,0.440533822,0.084923523,0.666666667,0.053081763
0,201792346,0.803740071,0.039497777,0.025051859,0.00034694,0.333333333,0
0,231286084,0.332325684,0.756212399,0.546436478,0.298156798,0,0
0,382572066,0.451710062,0.834946377,0.861900661,0.822688862,0.333333333,0
0,313936437,0.390633274,0.568469788,0.391531776,0.099140919,0.666666667,0.00727714
0,170636897,0.664320388,0.078995553,0.073860764,0.001377719,0.333333333,0
1,389924075,0.590666372,0.809199581,0.72894013,0.652687842,0.333333333,0
0,149347296,0.490269197,0.795448601,0.725405021,0.54446676,0.666666667,0.069951979
0,349945315,0.496546778,0.475935129,0.433643498,0.087419684,0,0
0,177308913,0.613217123,0.166361496,0.204219121,0.008102613,0.333333333,0
1,120896927,0.360536187,0.617106984,0.500323877,0.198601894,0.333333333,0
1,73649615,0.828287732,0.187549045,0.267289785,0.015379053,0.333333333,0
0,306735869,0.146182701,0.608608423,0.473099356,0.153528356,0,0
1,259377017,0.601312886,0.187287471,0.174365929,0.008202874,0.666666667,0.058041203
0,13060575,0.459973522,0.195919435,0.209763036,0.009631639,0,0
0,183532804,0.570024272,0.122155375,0.149519762,0.004217103,0,0
0,220433364,0.483239188,0.118231755,0.158229238,0.004470015,0.333333333,0
1,35009898,0.791890997,0.159037405,0.211735585,0.009518701,0.333333333,0
1,235037761,0.530549426,0.355218415,0.543039427,0.096545833,0.333333333,0
0,55663264,0.310900265,0.958932775,0.652046284,0.675961281,0.333333333,0
1,44797824,0.524029126,0.687941407,0.74896544,0.494072216,0.333333333,0
0,153027837,0.126147396,0.800439445,0.594739172,0.388275816,0.333333333,0
0,413248763,0.407451456,0.176301334,0.164455074,0.00623555,0.333333333,0
0,123366965,0.529266328,0.154329061,0.078737401,0.002252595,0.333333333,0
0,382627751,0.51162842,0.729419304,0.617092634,0.342724008,0.333333333,0
0,348898884,0.605450132,0.635888046,0.468998072,0.163960028,0.333333333,0
0,179583882,0.488967343,0.692532043,0.504565311,0.218324735,0.333333333,0
0,255563650,0.613305384,0.160083704,0.179607931,0.006541158,0.333333333,0
1,5868998,0.980736981,0.216583835,0.459714751,0.042036459,0.333333333,0
0,178351350,0.377173433,0.39576249,0.383365465,0.054136909,0,0
0,382624566,0.48380406,0.624640335,0.541975408,0.203139788,0.666666667,0.22742499
1,184240683,0.716968226,0.763732671,0.67621332,0.506674954,0,0
0,220411010,0.45440203,0.844101491,0.778780283,0.700866063,0.333333333,0
0,267537284,0.260734775,0.933798064,0.753553412,0.82385947,0.333333333,0
0,220459909,0.449856575,0.675647397,0.477293376,0.189380408,0.666666667,0.195962011
0,388182039,0.586595322,0.400993984,0.437420556,0.068646009,0.333333333,0
0,349273158,0.330869373,0.769552707,0.959782036,0.844699325,0.333333333,0
0,150431839,0.372274934,0.952393408,0.818719342,1,0.333333333,0
1,398943781,0.633241395,0.714098875,0.52697804,0.286410421,0,0
0,391893148,0.493523831,0.743703897,0.638366041,0.378182068,0.333333333,0
0,201882747,0.48417917,0.440230186,0.405488134,0.069332842,0.666666667,0.586178082
0,38707482,0.607127096,0.466387654,0.460040371,0.093534123,0.333333333,0
0,140691843,0.597992056,0.603557416,0.487257223,0.158994603,0.333333333,0
1,143350972,0.290600177,0.773073502,0.620934538,0.446824783,0.333333333,0
0,404452683,0.484981244,0.164268899,0.215287428,0.008672763,0.333333333,0
0,238872406,0.472694175,0.566309181,0.458961013,0.128316337,0.666666667,0.150702334
0,260191777,0.487621359,0.729008632,0.575740229,0.303252921,0.333333333,0
0,141899106,0.43037511,0.296887261,0.364092499,0.034426483,0.333333333,0
0,439411675,0.409234334,0.483913157,0.346202198,0.062017867,0.333333333,0
1,388106759,0.603431156,0.755582004,0.889958408,0.812678238,0.333333333,0
0,25132754,0.579490291,0.816897724,0.540628301,0.343340376,0.666666667,0.105893869
0,123480394,0.610469991,0.051268637,0.046254144,0.000688758,0.333333333,0
0,280046713,0.335094881,0.859272822,0.608899131,0.470244902,0.333333333,0
1,167342439,0.55635481,0.678320691,0.625250578,0.348918957,0.333333333,0
0,197602069,0.446899823,0.311273869,0.306638962,0.027634948,0.333333333,0
0,300708192,0.461639453,0.884645566,0.71744231,0.669524831,0.333333333,0
0,101955023,0.638724625,0.116400732,0.071205598,0.001646497,0.666666667,0.04242892
0,302444623,0.744869815,0.113523411,0.0534673,0.001205932,0.333333333,0
1,276128561,0.608395852,0.63667277,0.574960692,0.267340292,0,0
0,350434027,0.55701677,0.817682448,0.530124077,0.332598437,0.333333333,0
0,306512813,0.306917476,0.781436045,0.887517998,0.755411097,0.333333333,0
0,406345385,0.412919241,0.526811405,0.329318742,0.06578124,0.333333333,0
0,36879392,0.349336937,0.217106984,0.27927987,0.016280769,1,0.027345284
0,56665956,0.522703001,0.154329061,0.189387701,0.006867527,0.333333333,0
0,146663593,0.493451015,0.166884646,0.242168897,0.010472015,0.333333333,0
0,156918868,0.418601059,0.320952132,0.404785993,0.044970555,0.333333333,0
1,259701242,0.351632833,0.831545906,0.585076542,0.468808309,0.333333333,0
0,7151484,0.53309135,0.153544337,0.219243682,0.008477965,0.333333333,0
0,220423218,0.876003972,0.108291917,0.055268323,0.001207239,0.333333333,0
1,164767175,0.48640887,0.776353649,0.554065201,0.369500217,0.333333333,0
0,38583375,0.281376876,0.948323306,0.789497171,0.92746397,0.333333333,0
1,43647325,0.594991174,0.851687157,0.678751347,0.640678365,0.333333333,0
0,422382572,0.478720212,0.15877583,0.172246258,0.006128528,0.333333333,0
0,200363066,0.55934466,0.174993461,0.306309855,0.0156594,0.333333333,0
0,349645035,0.907105031,0.100967826,0.046998818,0.000986376,0.333333333,0
0,200748029,0.295487643,0.646361496,0.470425364,0.16990361,0.333333333,0
1,238898571,0.54136154,0.742610515,0.506222698,0.28901293,0.333333333,0
1,460984940,0.408859223,0.692649752,0.538304333,0.279889333,0.333333333,0
0,141914082,0.387279347,0.377713837,0.642047574,0.122439808,0.333333333,0
0,374996363,0.46548985,0.942715145,0.810122125,0.958782472,0.333333333,0
0,270559112,0.473598853,0.455924666,0.435521917,0.08236296,0,0
0,258322219,0.257325684,0.469513471,0.419524678,0.080976415,0.666666667,0.173126421
0,279245231,0.448488526,0.85691865,0.799551662,0.759070668,0.333333333,0
0,164752884,0.27022286,0.643473712,0.479576205,0.174078021,0.333333333,0
0,350655910,0.830692851,0.16714622,0.143802926,0.004981143,0.666666667,0.089327768
0,49934962,0.213669462,0.422882553,0.43886249,0.074520265,0.333333333,0
0,300291282,0.497164607,1,0.706732395,0.858174578,0.333333333,0
0,177284199,0.353078111,0.684540936,0.777880817,0.456845417,0.333333333,0
0,219150432,0.802184466,0.136803557,0.108179907,0.002980668,0.333333333,0
0,140940493,0.569660194,0.706317029,0.485545449,0.212499728,0,0
1,453211454,0.317530891,0.71782893,0.584331171,0.346055385,0.333333333,0
0,41230546,0.555560459,0.567878629,0.441590171,0.120837704,0,0
0,374909017,0.613172992,0.577295318,0.408536556,0.109256261,0,0
0,33949151,0.320906884,0.66239864,0.452710076,0.166780852,0.666666667,0.808220555
0,349518888,0.82923654,0.127125294,0.128081803,0.003516557,0,0
0,377018326,0.455847308,0.483390008,0.545408019,0.1323824,0.333333333,0
0,389214310,0.33940865,0.594658645,0.401897942,0.112089208,0.333333333,0
0,257720478,0.424106355,0.80928067,0.496557278,0.290962293,0.333333333,0
0,260795157,0.29576346,0.50462464,0.344297284,0.065773284,0.333333333,0
0,267083739,0.267928067,0.615576772,0.480642316,0.1610032,0,0
1,257567854,0.677096205,0.872874706,0.743840578,0.795416513,0.333333333,0
0,237920279,0.346006178,0.756735548,0.512952653,0.267793724,0.333333333,0
