class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
not,278137090,0.433829651495983,0.740439180853689,0.499138895198227,0.394069825328916,0.333333333333333,0.133846309677236,0.153832244910825,0,0,0.353495757743347,0.64314789687924,1.02468810581002
not,38708042,0.562018144267471,0.581704909943252,0.361566261942618,0.143880882986901,0.333333333333333,0.00543731205414855,0.285138143232963,0.990347294859354,0.451730505715748,0.366691762125145,0.424915196743555,0.796902466459909
toi,344926234,0.465674030341367,0.751500123365408,0.454912322567846,0.397152447008681,0.333333333333333,0.33062810355267,0,0,0,0,0.658354816824966,1.02668399076189
not,52059019,0.465544273958975,0.480384900074019,0.276032535098287,0.0672361710624834,0.333333333333333,0.0463757495999541,0.124003924402641,0.993671676124227,0.00207988026981897,0.19484139223068,0.28561736770692,0.65943809239939
not,148337392,0.485040170413382,0.293856402664693,0.306468205250583,0.0400483407273838,0.333333333333333,0.385667244124346,0.195367419566455,0.995474449904096,0.0505514864583538,0.265544431060684,0.0291723202170963,0.579946228530815
not,300290097,0.466095738584142,0.657290895632865,0.535388675968707,0.351716654078144,0.333333333333333,0.31174571579405,0.11807949308389,0.99672692565803,0.0103079919018188,0.329132868153927,0.528833107191316,0.99600360702807
not,38680230,0.53360149652361,0.633478904515174,0.427320742131457,0.222515506919814,0.333333333333333,0.0680610088959698,0,0,0,0,0.49609565807327,0.888443580683335
toi,309791156,0.663790400190309,0.435998026153467,0.430572526875383,0.137016623365654,0.333333333333333,0.348328042561841,0,0,0,0,0.224592944369064,0.787252323236473
not,149218350,0.539710859527903,0.784110535405872,0.55275452906624,0.529799644415857,0.333333333333333,0.333292749292244,0.363684077590555,0.99768277133929,0.00138380753469494,0.59395944417098,0.703188602442334,1.10330587858416
not,349518888,0.837004357651842,0.0994325191216383,0.0983775577975268,0.00320430224057472,0.666666666666667,0.0742075624560538,0.582125220395721,0,0,0.210744830190977,0.235413839891452,0.25758429482459
not,260004324,0.575199230112131,0.171971379225265,0.211134846999359,0.013266365130647,0.333333333333333,0.0485938819632694,0.372003366412783,0.998397945618768,0.636364970870284,0.27573480592716,0.135685210312076,0.442321323905917
not,396742365,0.338799320941599,0.233900814211695,0.286687808538594,0.0280818164649657,0.333333333333333,0.344336897330674,0.1312176636124,0.992413688543969,0.119124727969425,0.20644864156083,0.0505427408412483,0.531299294237744
not,302047241,0.526259447886593,0.387614113002714,0.350858660931718,0.0713999214906178,0.333333333333333,0.360678316162004,0.195690678687824,0.994333635740634,0.11043039677012,0.296391737617171,0.158073270013569,0.669356366087334
not,89257479,0.630507888106746,0.0478657784357266,0.0384780152324983,0.00079473743454568,0.333333333333333,0.548310138801883,0,0,0,0,0.306309362279512,0.160555480850477
toi,47484268,0.822006682453693,0.108561559338761,0.144662156528439,0.00650252897205071,0.333333333333333,0.340271006937431,0.554104990704967,0.996891400995182,0,0.259347117948564,0.222862957937585,0.341068783597953
not,140828333,0.569360192904489,0.718652849740933,0.484327892607724,0.352182195441757,0.333333333333333,0.135510243179437,0,0,0,0,0.613195386702849,0.996332624818573
not,141410789,0.524897005871476,0.880582284727362,0.520512695186151,0.612294575981867,0.333333333333333,0.320306323754443,0.281365271479525,0.997971460250878,0.000355411539361591,0.495757738540269,0.835820895522388,1.14392152552443
toi,19025965,0.716320108995361,0.305936343449297,0.388126816729872,0.0710680652855599,0.333333333333333,0.111099062418311,0,0,0,0,0.0457801899592944,0.668581921107155
not,257526400,0.589266984569804,0.100172711571675,0.129238748853537,0.00459988861430854,0.333333333333333,0.161967513052518,0.0797456609150701,0.990580442783137,0,0.091594084325276,0.234396200814111,0.296668263459071
