class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
0,167169110,8.9854,6055,1.13269,1.55371,1,0.0629892824385449,164.575252994172,1.00363174946727,0.0629682079400083,1.58631381179081,2055,1.11645825767893
1,167600516,10.6925,4316.7,0.651075,0.152039163,1,0.0231380471269131,143.491738039523,1.00028679556047,0.0231296729818845,0.85141292970817,316.7,0.624437343570484
0,396742364,9.55658,3461,0.39586,0.0202574,1,0.0561386401923901,222.958605054588,0.965495922718993,0.0540313458908722,0.645281944161904,539,0.34772961651825
0,29781292,8.9387,6315,1.41189,2.85619,1,0.0314808075572808,69.1393124638522,6.83506591797671e-05,2.1496036022225e-06,1.28161966947469,2315,1.30001024111704
1,161477033,10.0614,5286,0.879477,0.623797411,1,0.0665361384287369,237.660786072874,1.00362439442899,0.0664829677029656,1.48012714833708,1286,0.888711688207067
0,77111228,9.3607,3461,0.426039,0.0234639,1,0.0565896629468447,197.249684571447,0.479661399550137,0.0270572291304459,0.653210698108542,539,0.370670465927012
0,279251651,10.5886,3726,0.555239,0.0535336,1,0.0807679013707438,107.089240548256,0.999799938916476,0,0.627261534644584,274,0.481012776813429
0,46029665,11.0234,3272,0.341725,0.0120587,1,0.811555894124366,3698.03948490152,1.04009734098393,0.0513374039476006,2.26860193246451,728,0.277518831732737
0,314865991,7.6028,6638.94,1.2568,2.76453,1,0.0225184809056296,62.6006823914002,0.999035352713228,0.0016363127144748,1.08555411824136,2638.94,1.28945243549432
0,89328464,8.2044,6047,1.06631,1.36969,2,0.0717827264865969,166.906086075993,1.00363641708645,0.0715339455984269,1.5038874744584,2047,1.08182140769304
0,140943185,10.9869,4492,0.639946,0.150224,1,0.0570239413731947,417.845679513259,0.000124254059748112,7.06249090568378e-06,1.42806199150912,492,0.622565184937475
0,55661424,7.1444,8790,1.90295,19.4763,1,102.015607908078,131.332146498052,5812.4499683274,56.9662851998261,2.38072192814234,4790,2.12167836827244
0,308183430,9.47246,3863,0.625641,0.0785315,1,0.0586295676896021,0,0,0,0,137,0.529372008180266
0,382099053,9.9317,5440.47,0.991692,0.776237,1,0.0631285879036114,108.356986250062,0.999644035373157,3.06958361483742e-05,1.12694064323492,1440.47,0.938638978387227
0,279674929,10.7908,3259,0.328588,0.0109733,1,0.0579599461879691,0,0,0,0,741,0.266368187169127
1,260043723,8.735,6358,1.55139,4.062655808,1,0.0158072726489497,0,0,0,0,2358,1.41971936942197
0,31673724,8.5579,6038,0.969828,1.12631,1,0.0682223601419722,84.2616456228719,0.998862720434096,4.21047394078573e-05,0.971863922084666,2038,1.03018325167609
0,183799419,7.7889,5762.7,0.905818,0.81523,1,0.0223564819802267,105.623352579758,0,0,1.01628775807462,1762.7,0.950210966309982
0,88478720,10.7958,3445,0.304287,0.0117495,1,0.0161680694869295,0,0,0,0,555,0.274402226081416
0,294092998,10.2409,5354.19,0.8662,0.555528,1,0.0665397918380663,644.568555519773,1.00396657312334,0.0665092541456605,2.40075869542415,1354.19,0.863329315755059
0,130824174,8.3274,5317.5,0.720705,0.374145,1,0.0175737828785292,0,0,0,0,1317.5,0.782095859051317
1,311183180,9.1073,5055.34,0.693406,0.324386394,2,1.10573893163687,1757.08246569184,0.228121635916837,0.0861069527986084,3.1730684526014,1055.34,0.754684894660471
0,300136653,8.1505,6087,1.26855,1.99031,1,0.0248697860380971,97.2478493289025,0.999504946906336,0.0248421091736048,1.36566244266416,2087,1.18776406338742
0,349054977,12.0807,3632,0.410017,0.0263561,1,0.033526524847762,1095.42278443199,0.999508086398334,1.22979804197355e-05,1.48145519811211,368,0.389884726256364
0,167201200,9.1265,5908,1.06366,1.24184,1,0.0622427350478156,159.101223532935,0.997548845152346,0.0012441749871621,1.46465507505023,1908,1.05564139303778
0,142017826,9.381,5983.29,1.17092,1.58309,1,0.0616249226109815,87.2845808289235,1.00369195811836,0.0615768174418929,1.19424041119609,1983.29,1.12169917742436
0,142087340,9.2848,5263.18,1.03763,0.744345,1,714.109597741472,224.08833053944,2168.10720326257,3.03608623352336,1.69569567983966,1263.18,0.928845687040673
0,220391375,8.0163,6183.83,1.0224,1.37711,1,0.0226129122109392,179.335489974955,0.999718015359502,0.0125396315029639,1.49468520668707,2183.83,1.08328357417766
