class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity
0,167169110,8.9854,6055,1.13269,1.55371
1,167600516,10.6925,4316.7,0.651075,0.152039163
0,396742364,9.55658,3461,0.39586,0.0202574
0,29781292,8.9387,6315,1.41189,2.85619
1,161477033,10.0614,5286,0.879477,0.623797411
0,77111228,9.3607,3461,0.426039,0.0234639
0,279251651,10.5886,3726,0.555239,0.0535336
0,46029665,11.0234,3272,0.341725,0.0120587
0,314865991,7.6028,6638.94,1.2568,2.76453
0,89328464,8.2044,6047,1.06631,1.36969
0,140943185,10.9869,4492,0.639946,0.150224
0,55661424,7.1444,8790,1.90295,19.4763
0,308183430,9.47246,3863,0.625641,0.0785315
0,382099053,9.9317,5440.47,0.991692,0.776237
0,279674929,10.7908,3259,0.328588,0.0109733
1,260043723,8.735,6358,1.55139,4.062655808
0,31673724,8.5579,6038,0.969828,1.12631
0,183799419,7.7889,5762.7,0.905818,0.81523
0,88478720,10.7958,3445,0.304287,0.0117495
0,294092998,10.2409,5354.19,0.8662,0.555528
0,130824174,8.3274,5317.5,0.720705,0.374145
1,311183180,9.1073,5055.34,0.693406,0.324386394
0,300136653,8.1505,6087,1.26855,1.99031
0,349054977,12.0807,3632,0.410017,0.0263561
1,113553629,10.1989,6368,4.4529,33.68092913
0,167201200,9.1265,5908,1.06366,1.24184
0,142017826,9.381,5983.29,1.17092,1.58309
0,142087340,9.2848,5263.18,1.03763,0.744345
0,220391375,8.0163,6183.83,1.0224,1.37711
0,220433363,8.7057,3410,0.427535,0.0222667
0,333680372,9.3168,3439,0.473917,0.0283027
1,37084932,9.5254,9839,2.92734,82.95377164
0,293936969,8.2795,6309,1.15509,1.90446
0,167889542,6.881,6500.82,1.37245,3.03082
1,183537452,10.2499,5203,0.635603,0.30582511
1,29918916,10.9495,5574,1.73496,3.001461318
0,265373654,8.35839,3923,0.650802,0.0903786
0,130297237,9.5304,5280,0.709791,0.35277
0,255564289,8.6783,5529,0.900479,0.682698
0,167600516,10.6925,4316.7,0.651075,0.132606
0,294927550,12.8149,3353,0.310175,0.0109558
0,140581031,10.1658,5404.85,0.860548,0.56935
1,259377017,10.4981,3532,0.374358,0.022529055
1,31374837,8.1705,4891,0.726632,0.312108539
0,196466162,9.57027,3423,0.358348,0.015883
0,141412290,10.1854,5323,0.833874,0.502946
0,349412213,9.174,6356,1.0653,1.66868
1,260304800,12.7474,5285,0.942255,0.715488781
0,49644110,6.9684,4953,0.739855,0.296798
0,309623584,8.6259,5761,1.19246,1.41116
1,327017634,8.386,4827,28.3379,450.329588
0,382257922,10.9353,3620,0.430095,0.0286192
0,122574885,9.50892,3458,0.296416,0.0113187
1,55092869,7.3212,5326,2.78715,6.456710189
0,302964354,8.2983,4755,0.700013,0.225688
0,197594519,7.7067,4814,0.709911,0.243852
1,318608749,10.5135,6033,1.14849,1.804985418
0,260638705,10.5957,4785,0.637591,0.192002
0,141479310,8.5881,7236,1.59647,6.29522
0,177309385,7.159,6338.36,1.22975,2.19906
1,359496368,10.1358,3897,0.557752,0.074112226
0,147946697,9.23615,3904,0.681365,0.0971614
1,88977253,12.33,6784.68,1.50565,4.961939824
0,390531051,11.9306,2969,0.142759,0.00142673
0,150439989,8.7884,6351,1.2165,2.16914
0,349191590,8.5092,5752,1.49469,2.20329
1,101230735,9.6652,5687.9,1.13906,1.402771624
0,167895487,9.6321,5716,0.832238,0.66613
1,284450803,8.64028,7518,2.68133,23.72442964
0,270340632,8.6123,5385.96,0.791996,0.475546
1,143526444,9.3309,5601.2,4.15574,17.55929268
0,349273907,6.9926,6216.76,1.2732,2.18143
0,238069953,6.4271,6423.84,1.12861,1.95416
0,218970017,10.8406,3273,0.272734,0.00769055
0,220028962,7.7024,5859.88,0.992519,1.04647
0,149931754,10.2624,5596,0.859449,0.652598
1,38541473,10.7706,6053.05,1.53715,3.276540228
1,69838258,12.0885,6278,1.59016,4.057446996
0,276866031,8.4021,7205,1.43274,4.98385
0,44678687,10.9337,3349,0.282376,0.00903672
1,24364065,10.4717,5246,3.6427,10.38116077
0,348762301,9.4756,4190,0.637103,0.112712
0,24695017,8.5302,5176,0.778876,0.392291
0,238192896,10.1403,4499,0.744671,0.204686
1,229091748,12.7226,5753,1.04039,1.224773539
1,299945285,10.0176,6270.01,1.59084,4.040284049
0,80417903,9.54228,3687,0.518887,0.0448263
0,117628957,9.37717,3500,0.492784,0.0328307
1,201248411,9.9005,4486,0.764401,0.244436204
0,38469670,5.7754,5794.38,1.15581,1.35674
1,167418903,11.3786,5614.89,0.957719,0.941731673
0,453833488,9.20578,3710,0.461223,0.0363088
1,9804616,14.1118,3323,0.603855,0.045927484
0,307574210,9.3689,6011,1.00227,1.18156
0,25081575,9.9603,5443.9,0.791587,0.495829
0,167548779,6.9729,6620,1.53616,4.08318
1,425206121,9.654,7440.77,1.67335,8.866067999
1,176957796,10.702,4651,0.690721,0.230609205
0,201874446,8.915,5376,0.788104,0.467411
0,161174286,11.7183,3008,0.165217,0.00201333
0,177038077,8.6063,5926,1.47457,2.41586
0,419015728,2.7459,5333,0.833049,0.505734
0,293347978,7.7171,6529.5,1.63131,4.35799
0,49669659,6.7536,5741.87,0.935784,0.85755
1,207081058,9.9358,6073,1.2273,2.116413647
