TICID,Period
167169110,0.06298928243854492 d
167600516,0.023138047126913114 d
396742364,0.0561386401923901 d
29781292,0.031480807557280784 d
161477033,0.06653613842873692 d
77111228,0.05658966294684473 d
279251651,0.08076790137074381 d
46029665,0.8115558941243658 d
314865991,0.022518480905629624 d
89328464,0.07178272648659689 d
140943185,0.05702394137319471 d
55661424,102.0156079080778 d
308183430,0.058629567689602126 d
382099053,0.06312858790361144 d
279674929,0.05795994618796907 d
260043723,0.015807272648949683 d
31673724,0.06822236014197217 d
183799419,0.02235648198022665 d
88478720,0.016168069486929542 d
294092998,0.06653979183806626 d
130824174,0.01757378287852919 d
311183180,1.1057389316368709 d
300136653,0.024869786038097134 d
349054977,0.033526524847762015 d
167201200,0.062242735047815564 d
142017826,0.06162492261098149 d
142087340,714.1095977414716 d
220391375,0.022612912210939196 d
220433363,0.14255769436348179 d
333680372,0.07862295254124893 d
293936969,0.05825538355515068 d
167889542,0.015615126710132349 d
183537452,3.913830319281974 d
265373654,0.060453701357848465 d
130297237,0.06010765456283997 d
255564289,0.05864759144789693 d
167600516,0.023138047126913114 d
294927550,0.032769916671228735 d
140581031,0.013912938105855406 d
259377017,0.10484074220196628 d
31374837,0.07000212313541863 d
196466162,0.03110504140211634 d
141412290,0.07366527695003712 d
349412213,79.34566825040424 d
260304800,0.06091268801370053 d
49644110,0.014287935956156532 d
309623584,0.030949102340037497 d
327017634,0.0705908184949437 d
382257922,0.0178268804658731 d
122574885,0.05989354931090373 d
55092869,0.9448449290775986 d
302964354,0.0631631396013362 d
197594519,0.05215011468760718 d
260638705,0.02217413293933229 d
141479310,0.023769581583828935 d
177309385,0.06249865507457552 d
359496368,0.05476069492254844 d
147946697,0.06482468150862017 d
88977253,0.13179621121158033 d
390531051,0.030570180590316697 d
150439989,0.035106900391750864 d
349191590,0.0711406246715273 d
101230735,0.015301570221297498 d
167895487,0.017012330219428332 d
270340632,0.016971120711686452 d
143526444,0.03780922746640565 d
349273907,0.11716318649365041 d
238069953,0.061830343165359264 d
218970017,0.01713893655125317 d
220028962,20.818475775608114 d
149931754,0.03303767750994618 d
38541473,0.6734420217741262 d
276866031,0.060298014773998196 d
44678687,0.036549049400549885 d
348762301,0.033430529794675326 d
24695017,0.03296142415874735 d
238192896,0.03333061217254072 d
299945285,0.06472270043381328 d
80417903,0.03341106282058685 d
117628957,0.01653416287826067 d
201248411,0.07545209486317385 d
38469670,0.05796340411161977 d
167418903,0.014763994116009408 d
453833488,0.016079781065745875 d
9804616,0.0738606839326409 d
307574210,0.01571224119556202 d
25081575,0.05412788966706422 d
167548779,0.06645206110347637 d
425206121,4.445018331268206 d
176957796,12.528262010586548 d
201874446,0.02026337254799884 d
177038077,0.06291938532754016 d
419015728,0.03727543292762134 d
293347978,0.062356750543629054 d
49669659,0.05866856458955056 d
207081058,2.9341439706943575 d
141024724,0.05646483852573098 d
201792346,0.4764710642862986 d
279053000,0.056779000440631826 d
231286084,0.08235381689424717 d
382572066,0.06948634070688145 d
313936437,0.0650366051099962 d
170636897,0.0873354975314878 d
389924075,0.05794454410535264 d
149347296,0.023313331564810212 d
349945315,0.030669492020628443 d
177308913,0.02258268376586437 d
120896927,0.05597541749152477 d
73649615,0.030215201804166585 d
306735869,218.39348062507025 d
259377017,0.10484074220196628 d
13060575,0.06682124581876872 d
183532804,0.061566302338125864 d
220433364,0.14255769431017717 d
35009898,0.05819708740618159 d
235037761,0.07797008249077357 d
55663264,0.05334348145889664 d
44797824,0.0828599252368318 d
153027837,0.0725337839371864 d
413248763,0.06135893818602815 d
123366965,0.06252817421682617 d
382627751,0.060216808268909565 d
348898884,0.018172114075575348 d
179583882,43.76532107229538 d
255563650,1.3348595843422624 d
5868998,0.07938634399226684 d
178351350,0.022776312550352402 d
382624566,0.0181596961577395 d
184240683,0.5425114801980299 d
220411010,0.02181484928904426 d
267537284,0.022342929289716616 d
220459909,93.78260974223316 d
388182039,0.07611486382845557 d
349273158,0.056941999685451536 d
238197638,0.07477222099961073 d
150187916,0.0697644994702698 d
150431839,0.031975589304905634 d
398943781,0.7637869110961218 d
391893148,0.058161728711404626 d
201882747,0.02216501416896775 d
38707482,0.05240013969265783 d
140691843,0.022888123765680828 d
143350972,0.03409535694616919 d
350144504,0.014668291260071763 d
404452683,0.059410306783415606 d
389368692,0.06461358999937668 d
238872406,15.193816551850047 d
260191777,0.062576769709647 d
100100827,0.9386859865139495 d
141899106,0.016373340622899107 d
439411675,0.08441250721993092 d
388106759,0.03177490726356013 d
25132754,0.0699764119457986 d
123480394,3.730503525063105 d
280046713,5.90174226915813 d
167342439,0.06977132683023847 d
197602069,0.06741048621677607 d
300708192,0.08039060068615378 d
101955023,0.07401877269035549 d
302444623,0.06949122514628667 d
276128561,0.0613568695992731 d
350434027,0.014219618164368236 d
306512813,0.07745225019733276 d
406345385,0.01761385978804268 d
36879392,0.055183117939237754 d
56665956,0.05826707556046987 d
146663593,0.017038848070606284 d
156918868,0.05725451822071211 d
259701242,0.06705889750428222 d
7151484,0.589180606932083 d
220423218,13.878565950624338 d
164767175,0.05352487945845777 d
38583375,0.015286179643110999 d
43647325,1.5748915631712188 d
422382572,0.03218048675930309 d
200363066,0.058859108132632364 d
349645035,0.020746336442794607 d
200748029,0.055104498314800625 d
238898571,0.016288915042632014 d
460984940,0.056376972212612175 d
141914082,4.548468413141069 d
374996363,0.06248223829230361 d
370039100,0.01843861985933969 d
300515700,0.01719337597133012 d
270559112,0.05392881634087433 d
25153007,0.05417306136872812 d
258322219,0.016873518664151717 d
279245231,0.07279403638673058 d
164752884,0.08119882396460948 d
49771092,0.0668695900378264 d
391892842,0.09677594611757583 d
350655910,0.022424043825398195 d
49934962,0.07228095283224216 d
300291282,1.262466331065172 d
177284199,0.016362180688529685 d
219150432,0.06946363697262595 d
140940493,0.12447460527717175 d
177349900,0.03540980913230288 d
453211454,0.07297866615636754 d
41230546,0.06523820742064686 d
374909017,0.058480828309708605 d
33949151,0.03147275566722335 d
349518888,0.023920866854803383 d
377018326,1.7676013971066349 d
389214310,0.01692481548422821 d
257720478,0.06497172381020518 d
260795157,0.0503142358578178 d
267083739,0.06951175578854615 d
257567854,1.1785080291412504 d
237920279,0.06874363910075908 d
302411994,0.05497797501795646 d
261257684,0.061058724844594195 d
389790856,17.707538303870543 d
150389853,0.016537585754922268 d
294874367,6.673918481176477 d
142146835,0.06478947882537658 d
447283466,103.51565574014057 d
177022232,0.06889624405133908 d
300871545,1.2042322665539262 d
120585579,2.107466240686878 d
142105613,0.0661212571018709 d
261262184,0.6822418193936887 d
158111591,2.839568613310249 d
258054702,0.01685022999669958 d
277533870,0.03447899955810029 d
375063320,142.82190572089357 d
167415965,0.05696470724804465 d
409858786,0.08091187364763018 d
219229644,0.058314028891169274 d
382626661,0.018558946081527705 d
79611981,0.07032864187480432 d
301083272,0.016387083671885964 d
381949410,0.08096837111714392 d
279362204,8.816167069457775 d
339733013,0.07136781310649808 d
11561667,0.023205136285655282 d
339961200,10.047551078564531 d
306930089,0.06857881206531642 d
55650590,0.07362709595866156 d
259999047,0.10523592876900531 d
25155713,11.706709726370674 d
237924298,0.07122805686911352 d
453101363,0.033085142452512706 d
309781635,0.013963657096735197 d
364588832,0.025530404079359744 d
316937670,0.07479916427776334 d
149120706,0.033537681986267935 d
257500724,0.06775705106492431 d
300324030,0.06530249415617666 d
38403917,17.28495921155824 d
55452495,0.06539316670148389 d
29759170,0.06142886986476245 d
259373187,0.06943604343723682 d
260476837,0.12402217167117238 d
350862394,714.109309921213 d
234339269,0.056808701916083684 d
261867566,3.72396965627989 d
130645531,147.4441424348588 d
157008163,0.05380815052286647 d
38508010,0.06941923530902908 d
200807066,0.01655766783946371 d
150428135,0.07329462108720315 d
123089572,0.045611892724069986 d
52059019,0.020165835246309646 d
188087957,0.03597799451496997 d
365690646,0.06157132950497732 d
350559756,0.0662992523067565 d
100103200,0.03080846280428455 d
315002523,0.07960986387407244 d
452501166,0.03344344412253549 d
33880047,0.05492726495613689 d
314828399,0.06554325904535756 d
149540525,0.5313313538282388 d
291635915,0.06978847641474593 d
33880418,0.0673878824029853 d
382160241,0.0597582088168294 d
82362447,0.01704869676280657 d
172193428,0.0753388408299861 d
358289822,0.056582352724919405 d
308599430,0.07189762946048517 d
364425576,0.21297625077430554 d
389687183,0.03539565839423385 d
20325431,0.03463908582307275 d
348899264,0.06688297865644835 d
286763141,0.07719584679291679 d
