TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments
231663901,101.01,,4,5,5,5,5,5,4,,PC,KP,12.4069,0.006,,1,spoc,14:56.9,-55:52:18.71,12.641,0.044,-16.011,0.041,2458326.009,.000339.0,1.430401,0.000032,1.638765,0.026081,22.436284,0.263814,20452.53168,20452.53168,13.145008,0.144216,1193.379561,1499.044062,0.887868,375.31,4.411,5824,135.304,4.55972,0.0757679,0.890774,0.0438467,1,9/5/18 18:34,9/12/19 16:42,
149603524,102.01,,5,5,5,5,5,5,5,,PC,KP,9.7109,0.006,,2,spoc,48:33.6,-63:59:17.98,-15.641,0.037,26.046,0.037,2458326.079,.000099.0,4.411943,0.000005,3.776425,0.008533,15.285609,0.033203,13979.92619,13979.92619,15.397243,0.032379,708.767112,1315.96894,474.38095,175.631,0.588,6391,115.876,4.37665,0.0797224,1.21427,0.0542211,"1,2,3,4,6",9/5/18 18:34,9/12/19 16:42,WASP 62b
336732616,103.01,,5,5,5,5,5,5,5,,PC,KP,11.5232,0.008,,1,spoc,49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.253,.000586.0,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,10424.3718,14.581841,0.196435,1212.004376,1504.858953,0.800299,411.211,7.752,6371,127.975,4.33006,0.0885499,1.27616,0.0578543,1,9/5/18 18:34,9/12/19 16:42,HATS-3
231670397,104.01,,5,5,5,5,5,5,5,,PC,KP,9.8638,0.006,,1,spoc,19:47.9,-58:08:56.16,10.552,0.045,-10.658,0.043,2458327.673,.000842.0,4.087445,0.000239,5.59014,0.066407,3.900662,0.05299,3586.196984,3586.196984,12.652102,0.221452,1672.217546,1630.958624,0.808662,316.678,2.9655,6124,133.674,3.81034,0.0870651,2.21867,0.102573,1,9/5/18 18:34,9/12/19 16:42,WASP-73
144065872,105.01,,5,5,5,5,5,5,5,,PC,KP,9.4995,0.006,,1,spoc,29:49.9,-48:00:11.16,91.976,0.052,-6.861,0.069,2458326.506,.000156.0,2.184659,0.000023,2.869426,0.012752,12.92819,0.050966,11836.69122,11836.69122,12.514586,0.056125,985.883704,1429.144596,0.886027,137.544,0.7905,5758,131.861,4.2653,0.0759387,1.23824,0.0596985,1,9/5/18 18:34,9/12/19 16:42,WASP-95
38846515,106.01,,5,5,5,5,5,5,5,,PC,KP,10.3157,0.006,,1,spoc,35:50.4,-64:01:37.34,10.845,0.035,-0.499,0.052,2458326.745,.000179.0,2.84938,0.000006,3.776111,0.01379,8.121677,0.02748,7452.432687,7452.432687,9.06138,0.02705,1311.315373,1534.781437,278.0095,364.411,2.729,6733,131.587,4.09825,0.0922916,1.77457,0.0795,"1,2,3,4,5,6",9/5/18 18:34,9/12/19 16:42,WASP-100b
92352620,107.01,,5,5,5,5,5,5,5,,PC,KP,9.6433,0.006,,1,spoc,55:08.0,-34:08:08.7,26.376,0.078,-44.947,0.059,2458328.299,.000307.0,3.950054,0.000088,4.557506,0.023461,14.207005,0.082188,12999.89718,12999.89718,18.775574,0.097373,1098.209548,1468.219722,0.8602,211.211,2.4835,6072.6,105.855,4.0288,0.0762449,1.71036,0.074613,1,9/5/18 18:34,9/12/19 16:42,WASP-94A (planet host)
289793076,108.01,,5,5,5,5,5,5,5,,PC,KP,13.163,0.01,,1,spoc,07:50.8,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.085,.000922.0,3.043839,0.000202,2.660993,0.073265,26.534793,0.619302,24143.22224,24143.22224,13.999502,0.329885,400.955287,1141.284018,0.820267,421.855,8.339,5445,122,4.59896,,0.809868,,1,9/5/18 18:34,9/12/19 16:42,HATS-13
29344935,109.01,,4,5,5,5,5,5,4,,PC,KP,13.2366,0.007,,1,spoc,52:51.7,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.128,.001296.0,2.766737,0.000254,2.568721,0.112022,17.172409,0.532229,15691.95117,15691.95117,11.661768,0.527223,433.482954,1163.758204,0.834164,513.011,9.1275,5361,122,4.4198,,0.984866,,1,9/5/18 18:34,9/12/19 16:42,
281459670,110.01,,5,5,5,5,5,5,5,,PC,KP,11.6714,0.006,,1,spoc,22:28.4,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.04,.000446.0,3.174305,0.000044,2.723339,0.030983,17.075061,0.164396,15603.6931,15603.6931,13.668801,0.12625,662.491006,1293.94181,100.35208,342.14,2.912,5750.4,133.487,4.32419,0.0802426,1.15706,0.0633669,"1,2",9/5/18 18:34,9/12/19 16:42,HATS-30
355703913,111.01,,4,5,5,5,5,5,4,,PC,KP,13.183,0.006,,1,spoc,03:05.9,-62:28:09.54,2.894,0.024,4.911,0.025,2458326.106,.001084.0,2.106098,0.000069,1.574766,0.083967,13.580831,0.57385,12430.50297,12430.50297,16.683676,14.132685,720.255153,1321.269297,30.581211,508.842,3.896,5435.56,86.8012,4.46889,,0.940697,,"1,2",9/5/18 18:34,9/12/19 16:42,HATS-34
388104525,112.01,,5,5,5,5,5,5,5,,PC,KP,11.6035,0.006,,1,spoc,43:44.1,-65:11:37.61,21.126,0.032,16.543,0.043,2458327.409,.000189.0,2.499814,0.000008,2.878017,0.0169,16.458676,0.070009,15044.68116,15044.68116,14.839843,0.082961,996.863551,1433.107203,235.47691,302.448,2.004,5650,129.426,4.3263,0.0738158,1.13732,0.0577764,"1,2,3,4",9/5/18 18:34,9/12/19 16:42,
97409519,113.01,,5,5,5,5,5,5,5,,PC,KP,12.1893,0.006,,1,spoc,10:51.4,-30:44:58.99,-0.71,0.052,-14.516,0.049,2458327.053,.000623.0,3.372877,0.000147,2.63426,0.043644,18.796923,0.230641,17163.60419,17163.60419,14.201803,0.154789,615.165921,1270.187448,0.829214,448.637,7.508,6147,128.956,4.45576,0.0852356,1.05985,0.0531959,1,9/5/18 18:34,9/12/19 16:42,WASP-124
25155310,114.01,,5,5,5,5,5,5,5,,PC,KP,10.6103,0.006,,1,spoc,13:29.9,-69:13:35.73,63.134,0.045,53.433,0.039,2458327.521,.000203.0,3.288776,0.000007,3.410191,0.019658,7.763906,0.031384,7125.315013,7125.315013,10.835677,0.075686,808.140646,1359.851508,240.63535,216.526,0.932,5675.54,116.592,4.25432,0.0768179,1.24175,0.0610804,"1,2,3,4,5,6",9/5/18 18:34,9/12/19 16:42,
281541555,115.01,,4,5,5,5,5,5,4,,PC,KP,13.0417,0.006,,1,spoc,26:48.6,-56:18:57.97,21.46,0.027,7.316,0.024,2458329.901,.001812.0,4.742745,0.000262,2.408768,0.137056,14.669267,0.562533,13420.03179,13420.03179,11.517937,11.536549,246.967152,1011.066097,24.498663,453.808,3.894,5483,122,4.53376,,0.877585,,"1,2",9/5/18 18:34,9/12/19 16:42,HATS-46
238176110,116.01,,5,5,5,5,5,5,5,,PC,KP,11.0443,0.006,,1,spoc,51:23.1,-70:09:10.3,96.185,0.041,-1.747,0.038,2458326.689,.00026.0,2.798594,0.000049,2.366459,0.022664,18.483064,0.109788,16879.44984,16879.44984,11.293845,0.108967,288.255508,1050.906681,0.808503,149.942,0.5175,4935.4,114.943,4.43167,0.0852377,0.906655,0.0553769,1,9/5/18 18:34,9/12/19 16:42,WASP-91
322307342,117.01,,4,5,5,5,5,5,4,,PC,KP,11.7806,0.006,,1,qlp,00:01.5,-58:54:17.01,22.522,0.049,7.594,0.041,2458328.481,.00133.0,3.5855,0.00038,3.173,0.123,6.798766,0.004213,6242.33,6242.33,15.2606,0.655196,668.223,1416,49,603.955,10.2025,5704.8,124.789,3.8427,0.0769219,2.00441,0.105699,1,9/5/18 18:34,9/12/19 16:42,HATS-68
266980320,118.01,,2,5,5,4,4,2,4,,PC,CP,9.179,0.006,,1,spoc,18:14.2,-56:54:14.35,313.918,0.039,-20.177,0.043,2458329.2,.001235.0,6.036061,0.000637,2.123832,0.09961,1.85171,0.061023,1704.034261,1704.034261,4.926376,0.630906,242.435041,1006.395294,0.830483,94.1719,0.2512,5527,126.413,4.38107,0.0800925,1.05168,0.0549497,1,9/5/18 18:34,3/11/19 18:32,
278683844,119.01,,1,5,5,5,2,1,4,,PC,,9.2789,0.006,,2,spoc,36:57.2,-58:00:58.15,51.497,0.042,-205.6,0.049,2458327.616,.002023.0,5.541143,0.000132,3.03471,0.132389,0.679699,0.032176,625.829742,625.829742,2.468596,0.314115,140.124869,877.502889,20.64339,66.6187,0.1003,5130,124.759,4.5453,0.0838474,0.819657,0.048995,"1,2,3,4,5,6",8/30/18 14:18,6/13/19 4:18,CPC
278683844,119.02,,4,5,5,5,2,4,4,,PC,,9.2789,0.006,,2,spoc,36:57.2,-58:00:58.15,51.497,0.042,-205.6,0.049,2458328.046,.002725.0,10.691543,0.000362,3.228321,0.415448,0.586885,0.043266,540.395062,540.395062,1.935791,1.243667,58.334729,704.857857,13.253164,66.6187,0.1003,5130,124.759,4.5453,0.0838474,0.819657,0.048995,"1,2,3,4,5,6",10/19/18 23:49,6/17/19 14:58,CPC
394137592,120.01,,3,5,5,3,4,4,4,,PC,CP,7.1062,0.006,,1,spoc,17:47.3,-66:21:32.14,64.763,0.049,-5.056,0.041,2458332.083,.000707.0,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90616,2389.90616,12.215808,1.480912,413.730599,1150.268323,0.825237,79.5702,0.17345,5479.3,109.815,3.68338,0.0742926,2.33604,0.109628,1,9/5/18 18:34,3/2/19 20:05,
207081058,121.01,,5,5,5,5,5,5,5,,PC,FP,9.9358,0.006,,1,spoc,07:28.2,-41:48:55.84,49.561,0.042,-9.678,0.057,2458336.14,.00037.0,14.775056,0.000529,5.449073,0.03672,15.425729,0.106714,14107.16966,14107.16966,14.783107,2.180077,119.985215,844.115127,0.836588,182.169,1.0865,6073,136.42,4.31707,0.0781365,1.2273,0.0578543,1,9/5/18 18:34,9/12/19 16:45,Warm Jupiter candidate with a possible secondary
